,geometry,fault_count,GiZScore,GiPValue
541,"POLYGON ((-0.3080867066802814 51.42438725542416, -0.3080867066802814 51.47438725542416, -0.3580867066802814 51.47438725542416, -0.3580867066802814 51.42438725542416, -0.3080867066802814 51.42438725542416))",361.0,0.060926338497730874,0.31
543,"POLYGON ((-0.3080867066802814 51.52438725542416, -0.3080867066802814 51.57438725542416, -0.3580867066802814 51.57438725542416, -0.3580867066802814 51.52438725542416, -0.3080867066802814 51.52438725542416))",697.0,1.6712390761727256,0.068
544,"POLYGON ((-0.3080867066802814 51.57438725542416, -0.3080867066802814 51.62438725542415, -0.3580867066802814 51.62438725542415, -0.3580867066802814 51.57438725542416, -0.3080867066802814 51.57438725542416))",1184.0,0.26434879618732465,0.224
545,"POLYGON ((-0.3080867066802814 51.62438725542415, -0.3080867066802814 51.67438725542415, -0.3580867066802814 51.67438725542415, -0.3580867066802814 51.62438725542415, -0.3080867066802814 51.62438725542415))",425.0,0.5679020117494942,0.163
546,"POLYGON ((-0.3080867066802814 51.67438725542415, -0.3080867066802814 51.72438725542415, -0.3580867066802814 51.72438725542415, -0.3580867066802814 51.67438725542415, -0.3080867066802814 51.67438725542415))",210.0,0.5150662932331617,0.173
547,"POLYGON ((-0.3080867066802814 51.72438725542415, -0.3080867066802814 51.77438725542414, -0.3580867066802814 51.77438725542414, -0.3580867066802814 51.72438725542415, -0.3080867066802814 51.72438725542415))",923.0,-0.10409677166976665,0.443
548,"POLYGON ((-0.3080867066802814 51.77438725542414, -0.3080867066802814 51.82438725542414, -0.3580867066802814 51.82438725542414, -0.3580867066802814 51.77438725542414, -0.3080867066802814 51.77438725542414))",588.0,1.0799490826843727,0.1
553,"POLYGON ((-0.3080867066802814 52.02438725542413, -0.3080867066802814 52.07438725542413, -0.3580867066802814 52.07438725542413, -0.3580867066802814 52.02438725542413, -0.3080867066802814 52.02438725542413))",320.0,,0.001
573,"POLYGON ((-0.2580867066802814 50.8243872554242, -0.2580867066802814 50.8743872554242, -0.3080867066802814 50.8743872554242, -0.3080867066802814 50.8243872554242, -0.2580867066802814 50.8243872554242))",194.0,,0.001
581,"POLYGON ((-0.2580867066802814 51.22438725542418, -0.2580867066802814 51.27438725542417, -0.3080867066802814 51.27438725542417, -0.3080867066802814 51.22438725542418, -0.2580867066802814 51.22438725542418))",383.0,-0.5949771814520228,0.2
582,"POLYGON ((-0.2580867066802814 51.27438725542417, -0.2580867066802814 51.32438725542417, -0.3080867066802814 51.32438725542417, -0.3080867066802814 51.27438725542417, -0.2580867066802814 51.27438725542417))",183.0,-0.16159817867384774,0.485
